"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"967",967,"Kristen Mann",645,"F",2007,1.21892262381581,0.0369370492065396,33,1.62523016508774,-0.456506258842742,-0.491402279526734,0.75,-0.491402279526734,-0.456506258842742,-0.491402279526734,-0.491402279526734,"1983-08-10","2007-05-01",23,52
"968",968,"Kristen Mann",645,"F",2008,0.15581571889041,0.00865642882724497,18,0.380882868398779,-1.10837623827339,-1.16835335988612,0.409090909090909,-1.16835335988612,-1.10837623827339,-1.16835335988612,-1.16835335988612,"1983-08-10","2008-05-01",24,15
"969",969,"Kristen Mann",645,"F",2009,0.189432300880778,0.0118395188050486,16,0.52093882742214,-1.200401732221,-1.13403866546692,0.363636363636364,-1.13403866546692,-1.200401732221,-1.13403866546692,-1.13403866546692,"1983-08-10","2009-05-01",25,14
"970",970,"Kristen Mann",645,"F",2010,-0.0468437025648248,-0.00936874051296496,5,-0.412224582570458,-1.27938127980356,-1.60718450751555,0.113636363636364,-1.60718450751555,-1.27938127980356,-1.60718450751555,-1.60718450751555,"1983-08-10","2010-05-01",26,4
"971",971,"Jessica Moore",646,"F",2006,0.909613780801126,0.023323430276952,39,1.02623093218589,-0.798609641999143,-0.931297994154572,0.886363636363636,-0.931297994154571,-0.798609641999143,-0.931297994154571,-0.931297994154571,"1982-07-09","2006-05-01",23,85
"972",972,"Jessica Moore",646,"F",2007,0.387133341088856,0.0133494255547881,29,0.587374724410679,-0.968439936194861,-0.998667130273265,0.659090909090909,-0.998667130273265,-0.968439936194861,-0.998667130273265,-0.998667130273265,"1982-07-09","2007-05-01",24,38
"973",973,"Jessica Moore",646,"F",2008,-0.0596458307757326,-0.00175428914046272,34,-0.0771887221803599,-1.24747919363046,-1.40658961611803,0.772727272727273,-1.40658961611803,-1.24747919363046,-1.40658961611803,-1.40658961611803,"1982-07-09","2008-05-01",25,58
"974",974,"Jessica Moore",646,"F",2009,0.45637157563022,0.0111310140397615,41,0.489764617749504,-1.02084548650935,-1.15134272795725,0.931818181818182,-1.15134272795725,-1.02084548650935,-1.15134272795725,-1.15134272795725,"1982-07-09","2009-05-01",26,90
"975",975,"Jessica Moore",646,"F",2010,0.205214197569374,0.00586326278769641,35,0.257983562658642,-1.12113746070964,-1.25345782837641,0.795454545454545,-1.25345782837641,-1.12113746070964,-1.25345782837641,-1.25345782837641,"1982-07-09","2010-05-01",27,67
"976",976,"Jessica Moore",646,"F",2011,0.139746047300752,0.00465820157669174,30,0.204960869374437,-1.16484550593292,-1.29709866639059,0.681818181818182,-1.29709866639059,-1.16484550593292,-1.29709866639059,-1.29709866639059,"1982-07-09","2011-05-01",28,41
